uniqueRetailerItemId,dayOfWeek,restrictOrderTimes,prepRestrictTimesGroup1,prepTimeCategoryIdGroup1,prepRestrictTimesGroup2,prepTimeCategoryIdGroup2,prepRestrictTimesGroup3,prepTimeCategoryIdGroup3,isActive
den_timberline_c_item_1,1,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_1,2,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_1,3,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_1,4,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_1,5,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_1,6,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_1,7,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_2,1,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_2,2,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_2,3,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_2,4,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_2,5,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_2,6,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_2,7,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_3,1,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_3,2,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_3,3,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_3,4,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_3,5,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_3,6,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_3,7,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_4,1,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_4,2,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_4,3,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_4,4,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_4,5,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_4,6,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_4,7,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_5,1,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_5,2,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_5,3,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_5,4,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_5,5,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_5,6,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_5,7,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_6,1,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_6,2,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_6,3,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_6,4,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_6,5,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_6,6,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_6,7,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_7,1,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_7,2,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_7,3,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_7,4,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_7,5,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_7,6,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_7,7,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_8,1,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_8,2,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_8,3,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_8,4,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_8,5,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_8,6,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_8,7,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_9,1,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_9,2,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_9,3,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_9,4,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_9,5,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_9,6,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_9,7,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_10,1,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_10,2,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_10,3,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_10,4,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_10,5,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_10,6,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_10,7,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_11,1,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_11,2,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_11,3,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_11,4,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_11,5,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_11,6,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_11,7,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_12,1,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_12,2,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_12,3,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_12,4,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_12,5,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_12,6,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_12,7,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_13,1,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_13,2,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_13,3,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_13,4,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_13,5,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_13,6,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_13,7,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_14,1,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_14,2,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_14,3,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_14,4,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_14,5,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_14,6,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_14,7,7:00 AM - 10:00 AM,,,,,,,Y
den_timberline_c_item_15,1,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_15,2,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_15,3,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_15,4,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_15,5,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_15,6,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_15,7,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_16,1,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_16,2,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_16,3,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_16,4,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_16,5,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_16,6,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_16,7,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_17,1,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_17,2,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_17,3,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_17,4,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_17,5,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_17,6,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_17,7,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_18,1,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_18,2,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_18,3,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_18,4,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_18,5,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_18,6,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_18,7,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_19,1,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_19,2,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_19,3,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_19,4,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_19,5,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_19,6,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_19,7,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_20,1,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_20,2,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_20,3,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_20,4,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_20,5,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_20,6,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_20,7,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_21,1,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_21,2,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_21,3,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_21,4,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_21,5,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_21,6,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_21,7,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_22,1,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_22,2,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_22,3,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_22,4,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_22,5,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_22,6,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_22,7,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_23,1,10:30 AM - 9:00 PM,,,,,,,Y
den_timberline_c_item_23,2,10:30 AM - 9:00 PM,,,,,,,Y
